[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 12:02:27       
[DoS attack: RST Scan] from source: 3.233.144.233:443, Friday, November 27,2020 11:59:03       
[DoS attack: RST Scan] from source: 52.86.203.162:443, Friday, November 27,2020 11:58:39       
[DoS attack: TCP Port Scan] from source: 93.174.89.2:45009, Friday, November 27,2020 11:24:11       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 11:17:27       
[DoS attack: RST Scan] from source: 172.224.5.201:443, Friday, November 27,2020 11:10:37       
[DHCP IP: (192.168.1.22)] to MAC address 22:4C:A9:A5:88:6A, Friday, November 27,2020 10:42:17       
[DHCP IP: (192.168.1.22)] to MAC address¼G@ 22:4C:A9:A5:88:6A, Friday, November 27,2020 10:42:15       
[DHCP IP: (192.168.1.22)] to MAC address 22:4C:A9:A5:88:6A, Friday, November 27,2020 10:42:14       
[DoS attack: RST Scan] from source: 184.31.196.183:443, Friday, November 27,2020 10:35:00       
[DoS attack: RST Scan] from source: 52.42.46.86:443, Friday, November 27,2020 10:22:37       
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Friday, November 27,2020 10:05:32       
[DHCP IP: (192.168.1.29)] to MAC address A6:E5:CA:F8:7A:DE, Friday, November 27,2020 09:57:36       
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Friday, November 27,2020 09:52:01       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 09:47:27       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 09:46:24       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 09:45:21       
[DHCP IP: (192.168.1.21)] to MAC address 52:A5:93:9D:99:D5, Friday, November 27,2020 09:44:31       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 09:43:14       
[DHCP IP: (192.168.1.26)] to MAC address 1A:B9:BB:0F:2D:1A, Friday, November 27,2020 09:43:05       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 09:39:01       
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Friday, November 27,2020 09:34:34       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 09:30:35       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 09:13:42       
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Friday, November 27,2020 09:13:38       
[DHCP IP: (192.168.1.5)] to MAC address A8:10:87:4F:0B:56, Friday, November 27,2020 08:48:17       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 08:39:57       
[DHCP IP: (192.168.1.24)] to MAC address A6:DC:5B:42:7A:9D, Friday, November 27,2020 08:38:06       
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Friday, November 27,2020 08:26:29       
[DoS attack: RST Scan] from source: 184.25.116.82:443, Friday, November 27,2020 08:14:56       
[DoS attack: RST Scan] from source: 17.248.185.170:443, Friday, November 27,2020 08:03:52       
[DoS attack: RST Scan] from source: 68.67.179.154:443, Friday, November 27,2020 07:56:12       
[DoS attack: RST Scan] from source: 17.248.131.148:443, Friday, November 27,2020 07:42:22       
[DoS attack: RST Scan] from source: 104.91.200.163:443, Friday, November 27,2020 07:41:37       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 07:32:28       
[DoS attack: RST Scan] from source: 74.119.119.145:443, Friday, November 27,2020 07:32:02       
[DoS attack: RST Scan] from source: 74.119.119.142:443, Friday, November 27,2020 07:16:00       
[DoS attack: TCP Port Scan] from source: 223.112.70.109:54105, Friday, November 27,2020 07:12:11       
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Friday, November 27,2020 06:57:26       
[DHCP IP: (192.168.1.16)] to MAC address 0C:96:E6:02:D1:1F, Friday, November 27,2020 06:54:37       
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Friday, November 27,2020 06:54:27       
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Friday, November 27,2020 06:54:24       
[DHCP IP: (192.168.1.12)] to MAC address CC:46:4E:CB:54:8C, Friday, November 27,2020 06:52:19       
[DHCP IP: (192.168.1.29)] to MAC address A6:E5:CA:F8:7A:DE, Friday, November 27,2020 06:49:39       
[DHCP IP: (192.168.1.26)] to MAC address 1A:B9:BB:0F:2D:1A, Friday, November 27,2020 06:49:36       
[DHCP IP: (192.168.1.3)] to MAC address F8:36:9B:81:2E:F3, Friday, November 27,2020 06:47:21       
[DHCP IP: (192.168.1.31)] to MAC address 1E:F7:27:D1:51:CF, Friday, November 27,2020 06:46:50       
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Friday, November 27,2020 06:45:19       
[Do¼G@S attack: RST Scan] from source: 23.48.205.54:443, Friday, November 27,2020 06:28:22       
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Friday, November 27,2020 06:22:06       
[DHCP IP: (192.168.1.21)] to MAC address 52:A5:93:9D:99:D5, Friday, November 27,2020 06:14:14       
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Friday, November 27,2020 05:58:46       
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Friday, November 27,2020 05:58:44       
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Friday, November 27,2020 05:48:01       
[DoS attack: RST Scan] from source: 104.91.200.163:443, Friday, November 27,2020 05:22:17       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 05:17:28       
[DoS attack: RST Scan] from source: 74.6.145.75:993, Friday, November 27,2020 05:13:00       
[DHCP IP: (192.168.1.4)] to MAC address F0:81:73:DA:3F:2F, Friday, November 27,2020 04:41:19       
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Friday, November 27,2020 04:40:31       
